key,year,name,time,state,country,district,start_date,end_date,type,week,offseason,video,status,current_match,qual_matches,epa_max,epa_top8,epa_top24,epa_mean,epa_sd,epa_acc,epa_mse,rp_1_acc,rp_1_mse,rp_2_acc,rp_2_mse
2005co,2005,Colorado Regional,1111640400,CO,USA,NULL,2005-03-24,2005-03-26,0,4,f,NULL,Completed,86,70,30.22,12.52,4.72,7.98,7.04,0.7674,0.1763,NULL,NULL,NULL,NULL
2005ct,2005,UTC New England Regional,1110430800,CT,USA,NULL,2005-03-10,2005-03-12,0,2,f,NULL,Completed,82,70,23.03,14.12,6.46,9.78,5.86,0.6463,0.1904,NULL,NULL,NULL,NULL
2005cur,2005,Curie Division,1114056000,GA,USA,NULL,2005-04-21,2005-04-23,3,8,f,NULL,Completed,118,100,27.42,20.54,13.41,10.95,6.18,0.5847,0.2504,NULL,NULL,NULL,NULL
2005dt,2005,Detroit Regional,1111035600,MI,USA,NULL,2005-03-17,2005-03-19,0,3,f,NULL,Completed,78,61,24.54,15.15,5.26,9.22,6.45,0.6538,0.2165,NULL,NULL,NULL,NULL
2005fl,2005,Florida Regional,1110430800,FL,USA,NULL,2005-03-10,2005-03-12,0,2,f,NULL,Completed,85,71,24.19,14.65,9.41,9.23,5.4,0.6353,0.2103,NULL,NULL,NULL,NULL
2005ga,2005,Peachtree Regional,1109826000,GA,USA,NULL,2005-03-03,2005-03-05,0,1,f,NULL,Completed,85,72,14.78,9.93,6.16,6.26,3.69,0.5294,0.2407,NULL,NULL,NULL,NULL
2005gal,2005,Galileo Division,1114056000,GA,USA,NULL,2005-04-21,2005-04-23,3,8,f,NULL,Completed,114,100,31.46,19.98,15.33,11.12,7.1,0.6491,0.2087,NULL,NULL,NULL,NULL
2005gl,2005,Great Lakes Regional,1110430800,MI,USA,NULL,2005-03-10,2005-03-12,0,2,f,NULL,Completed,101,87,25.07,12.29,8.21,7.83,4.43,0.6634,0.2221,NULL,NULL,NULL,NULL
2005il,2005,Midwest Regional,1111640400,IL,USA,NULL,2005-03-24,2005-03-26,0,4,f,NULL,Completed,76,60,22.62,13.82,5.69,9.05,5.9,0.6316,0.2279,NULL,NULL,NULL,NULL
2005mi,2005,West Michigan Regional,1112245200,MI,USA,NULL,2005-03-31,2005-04-02,0,5,f,NULL,Completed,87,70,25.73,18.34,7.86,10.96,7.07,0.6552,0.1967,NULL,NULL,NULL,NULL
2005new,2005,Newton Division,1114056000,GA,USA,NULL,2005-04-21,2005-04-23,3,8,f,NULL,Completed,112,100,33.31,19.36,13.67,10.51,6.61,0.6339,0.1957,NULL,NULL,NULL,NULL
2005nj,2005,New Jersey Regional,1111035600,NJ,USA,NULL,2005-03-17,2005-03-19,0,3,f,NULL,Completed,98,80,23.3,14.33,9.18,7.73,5.5,0.6327,0.218,NULL,NULL,NULL,NULL
2005nv,2005,Las Vegas Regional,1112245200,NV,USA,NULL,2005-03-31,2005-04-02,0,5,f,NULL,Completed,86,70,29.58,14.64,5.94,9.5,7.08,0.7209,0.1815,NULL,NULL,NULL,NULL
2005ny,2005,New York City Regional,1111640400,NY,USA,NULL,2005-03-24,2005-03-26,0,4,f,NULL,Completed,80,64,21.34,10.16,2.29,6.1,5.01,0.7875,0.1738,NULL,NULL,NULL,NULL
2005oh,2005,Buckeye Regional,1111640400,OH,USA,NULL,2005-03-24,2005-03-26,0,4,f,NULL,Completed,87,70,24.39,14.78,5.53,9.12,6.79,0.6552,0.2038,NULL,NULL,NULL,NULL
2005on,2005,Greater Toronto Regional,1112245200,ON,Canada,NULL,2005-03-31,2005-04-02,0,5,f,NULL,Completed,103,88,26.34,15.1,7.51,7.17,5.85,0.7476,0.1731,NULL,NULL,NULL,NULL
2005or,2005,Pacific Northwest Regional,1110430800,OR,USA,NULL,2005-03-10,2005-03-12,0,2,f,NULL,Completed,16,0,11.05,6.81,2.03,5.79,2.67,0.75,0.2044,NULL,NULL,NULL,NULL
2005pa,2005,Philadelphia Regional,1111640400,PA,USA,NULL,2005-03-24,2005-03-26,0,4,f,NULL,Completed,91,76,31.18,14.83,7.53,9.94,7.31,0.6923,0.1847,NULL,NULL,NULL,NULL
2005pit,2005,Pittsburgh Regional,1110430800,PA,USA,NULL,2005-03-10,2005-03-12,0,2,f,NULL,Completed,40,40,16,9.26,1.74,6.32,4.82,0.55,0.2144,NULL,NULL,NULL,NULL
2005sc,2005,Palmetto Regional,1112245200,SC,USA,NULL,2005-03-31,2005-04-02,0,5,f,NULL,Completed,80,63,22.89,15.2,7.83,10.05,5.4,0.7,0.2064,NULL,NULL,NULL,NULL
2005sj,2005,Silicon Valley Regional,1111640400,CA,USA,NULL,2005-03-24,2005-03-26,0,4,f,NULL,Completed,88,72,25.42,14.69,4.67,8.5,6.65,0.7159,0.1955,NULL,NULL,NULL,NULL
2005tx,2005,Lone Star Regional,1112245200,TX,USA,NULL,2005-03-31,2005-04-02,0,5,f,NULL,Completed,82,67,28.63,15.06,4.62,8.08,7.14,0.7561,0.171,NULL,NULL,NULL,NULL
2005wat,2005,Waterloo Regional,1111640400,ON,Canada,NULL,2005-03-24,2005-03-26,0,4,f,NULL,Completed,60,48,28.49,11.2,0,8.58,6.85,0.7333,0.1682,NULL,NULL,NULL,NULL
2005wpi,2005,Battlecry@WPI 6,1118980800,MA,USA,NULL,2005-06-17,2005-06-18,99,9,t,NULL,Completed,59,59,22.91,16.2,8.42,10.2,6.09,0.5932,0.2191,NULL,NULL,NULL,NULL
